YEAR,MONTH,DAY,COUNTRY,SESSION_ID,PAGE1,PAGE2,COLOUR,LOCATION,MODEL_PHOTOGRAPHY,PRICE,PRICE2,PAGE,converted,revenue
2008,7,3,Germany,6253,blouses,P236,brown,2,en face,187.43,2,2,1,501.52
2008,5,28,Italy,4685,trousers,P079,burgundy,1,profile,120.85,2,4,0,0.0
2008,5,15,UK,1732,blouses,P066,beige,5,en face,20.85,1,2,0,0.0
2008,6,19,Italy,4743,blouses,P224,brown,5,profile,151.46,2,1,0,0.0
2008,8,15,Italy,4522,trousers,P294,green,1,en face,130.96,2,2,1,280.6
2008,5,4,Australia,6341,skirts,P132,blue,1,profile,164.27,2,3,1,206.65
2008,5,15,Germany,577,skirts,P037,pink,2,en face,27.66,1,1,0,0.0
2008,4,9,India,5203,skirts,P249,pink,3,profile,92.08,1,3,0,0.0
2008,5,20,Sweden,6364,blouses,P255,gray,3,profile,90.16,1,2,0,0.0
2008,4,22,Australia,440,blouses,P243,brown,3,profile,127.32,2,4,0,0.0
2008,7,3,Italy,2751,blouses,P161,navy blue,2,en face,87.34,1,2,0,0.0
2008,4,8,India,7488,trousers,P215,gray,6,profile,188.29,2,2,0,0.0
2008,5,18,Germany,5273,sale,P052,green,1,en face,181.78,2,3,0,0.0
2008,5,16,UK,5654,blouses,P090,beige,5,profile,163.89,2,4,0,0.0
2008,5,20,Australia,4000,sale,P071,navy blue,2,profile,74.8,1,2,0,0.0
2008,8,19,Italy,6034,blouses,P122,red,1,profile,45.46,1,4,0,0.0
2008,4,6,France,583,blouses,P027,beige,6,profile,115.93,2,4,0,0.0
2008,7,27,Italy,9931,skirts,P284,white,5,profile,106.53,2,2,0,0.0
2008,4,20,USA,7052,trousers,P167,beige,5,profile,92.95,1,1,0,0.0
2008,8,20,UK,8159,trousers,P142,white,1,en face,111.95,2,3,1,215.35
2008,4,25,Germany,9897,blouses,P044,brown,3,profile,148.1,2,4,0,0.0
2008,4,28,France,2250,sale,P257,green,3,profile,70.95,1,4,0,0.0
2008,6,15,India,4641,sale,P028,gray,6,en face,178.3,2,2,0,0.0
2008,4,8,Italy,9486,skirts,P133,olive,1,profile,12.58,1,5,0,0.0
2008,7,8,Germany,4948,blouses,P035,navy blue,5,profile,162.46,2,1,0,0.0
2008,4,20,Australia,9921,skirts,P237,olive,4,en face,53.08,1,1,1,90.76
2008,8,24,Australia,1964,blouses,P230,burgundy,2,en face,163.18,2,1,0,0.0
2008,7,24,Germany,8244,blouses,P162,black,2,en face,104.05,1,4,0,0.0
2008,5,14,Sweden,6591,skirts,P056,pink,3,en face,194.82,2,5,0,0.0
2008,6,11,Italy,8848,skirts,P297,pink,4,en face,45.74,1,2,0,0.0
2008,5,4,Italy,322,sale,P080,olive,4,en face,48.55,1,1,0,0.0
2008,8,5,France,2679,sale,P007,violet,3,en face,75.57,1,2,0,0.0
2008,4,7,USA,4626,skirts,P146,brown,3,profile,44.77,1,1,0,0.0
2008,5,21,Sweden,4950,skirts,P183,blue,6,en face,183.97,2,4,0,0.0
2008,5,12,Australia,8329,trousers,P156,burgundy,6,profile,177.78,2,3,0,0.0
2008,4,6,India,3338,blouses,P183,olive,6,profile,48.91,1,5,0,0.0
2008,8,22,UK,5590,blouses,P194,beige,2,en face,72.32,1,5,0,0.0
2008,7,18,Germany,252,sale,P231,green,4,profile,117.12,2,2,0,0.0
2008,4,13,France,3974,sale,P054,violet,5,en face,127.07,2,5,0,0.0
2008,4,19,Sweden,6631,trousers,P100,brown,3,profile,150.25,2,2,0,0.0
2008,6,28,USA,5548,blouses,P184,white,4,profile,80.78,1,5,0,0.0
2008,8,8,USA,36,trousers,P148,navy blue,5,profile,171.29,2,5,0,0.0
2008,7,15,USA,8363,trousers,P100,black,2,profile,55.19,1,1,0,0.0
2008,8,19,Germany,1514,trousers,P090,gray,4,profile,177.89,2,3,0,0.0
2008,8,6,Germany,9318,trousers,P005,pink,2,profile,123.69,2,2,0,0.0
2008,5,3,USA,40,blouses,P288,brown,2,profile,138.4,2,4,0,0.0
2008,5,13,UK,4820,sale,P065,burgundy,5,en face,54.96,1,4,1,160.74
2008,6,7,UK,3466,sale,P072,beige,1,profile,178.28,2,4,0,0.0
2008,7,13,Australia,1761,blouses,P182,gray,5,en face,174.65,2,1,0,0.0
2008,5,25,Italy,2305,skirts,P263,brown,6,en face,141.14,2,3,1,338.07
2008,6,4,Australia,3724,blouses,P020,brown,5,en face,156.61,2,2,0,0.0
2008,5,6,USA,8285,blouses,P120,red,5,en face,45.18,1,3,0,0.0
2008,8,20,USA,4994,trousers,P253,pink,4,profile,12.88,1,1,0,0.0
2008,5,24,France,8128,skirts,P203,gray,2,profile,13.93,1,2,0,0.0
2008,5,26,Sweden,3033,blouses,P117,beige,3,profile,170.53,2,2,0,0.0
2008,4,3,Australia,7939,blouses,P084,white,6,en face,59.87,1,3,0,0.0
2008,4,15,UK,3040,trousers,P243,red,3,profile,83.56,1,3,0,0.0
2008,8,12,UK,9656,blouses,P114,brown,1,en face,112.26,2,2,0,0.0
2008,5,13,Germany,2546,skirts,P039,white,4,profile,121.16,2,3,0,0.0
2008,4,15,Australia,2593,sale,P137,black,1,en face,47.41,1,3,0,0.0
2008,5,21,UK,1189,trousers,P194,pink,1,profile,44.85,1,1,0,0.0
2008,7,5,UK,7967,trousers,P212,black,6,profile,105.93,1,2,0,0.0
2008,5,24,India,6078,sale,P189,navy blue,5,en face,45.8,1,4,1,119.1
2008,7,20,Italy,108,sale,P127,green,3,profile,96.15,1,2,0,0.0
2008,5,12,France,1316,sale,P110,beige,1,en face,12.34,1,5,0,0.0
2008,5,20,Germany,8188,skirts,P201,brown,2,profile,174.93,2,5,0,0.0
2008,8,1,India,2754,skirts,P263,burgundy,5,profile,85.85,1,3,0,0.0
2008,5,9,Italy,9754,blouses,P010,red,1,profile,108.58,2,1,0,0.0
2008,5,22,Italy,6232,sale,P145,brown,2,en face,91.51,1,4,0,0.0
2008,8,15,Germany,2877,skirts,P093,white,6,profile,10.87,1,3,0,0.0
2008,4,27,Italy,5324,sale,P083,navy blue,6,profile,56.46,1,5,0,0.0
2008,6,1,UK,800,blouses,P275,burgundy,5,profile,71.43,1,1,0,0.0
2008,8,3,France,3571,skirts,P170,brown,3,en face,64.71,1,3,0,0.0
2008,8,2,Australia,2895,skirts,P095,olive,5,profile,185.37,2,3,0,0.0
2008,8,13,UK,2928,blouses,P231,navy blue,3,profile,178.61,2,2,0,0.0
2008,7,5,UK,8179,sale,P070,burgundy,6,profile,113.96,2,3,0,0.0
2008,8,4,Sweden,972,trousers,P255,pink,6,profile,24.58,1,4,0,0.0
2008,4,17,UK,6688,sale,P257,navy blue,2,profile,119.42,2,4,0,0.0
2008,4,6,USA,8576,skirts,P251,brown,5,profile,89.41,1,1,0,0.0
2008,7,11,UK,2021,skirts,P250,green,2,profile,49.35,1,4,1,66.07
2008,6,23,Sweden,9055,skirts,P110,navy blue,3,profile,64.26,1,4,0,0.0
2008,7,18,Australia,953,trousers,P022,beige,5,profile,197.12,2,2,0,0.0
2008,5,19,Sweden,5360,skirts,P165,gray,5,profile,97.86,1,5,0,0.0
2008,4,21,USA,3858,blouses,P110,gray,3,profile,163.85,2,2,0,0.0
2008,6,21,Germany,5862,skirts,P255,navy blue,4,en face,99.87,1,1,0,0.0
2008,4,12,Italy,3146,skirts,P129,gray,1,profile,188.49,2,4,0,0.0
2008,6,14,UK,3306,blouses,P233,brown,3,profile,197.78,2,3,1,367.89
2008,7,4,France,3007,sale,P189,red,5,en face,88.53,1,1,0,0.0
2008,5,24,Sweden,9002,trousers,P222,white,2,en face,162.23,2,2,0,0.0
2008,5,26,France,7771,trousers,P290,white,2,profile,138.18,2,5,0,0.0
2008,5,4,Australia,7439,sale,P057,black,6,profile,191.81,2,4,0,0.0
2008,4,2,France,7943,blouses,P154,blue,5,en face,56.76,1,3,0,0.0
2008,7,2,India,9239,trousers,P149,white,5,en face,161.72,2,5,0,0.0
2008,5,6,Germany,1057,trousers,P047,violet,5,profile,36.44,1,1,0,0.0
2008,7,16,France,3155,blouses,P107,white,6,profile,162.99,2,1,0,0.0
2008,4,19,Germany,3788,sale,P066,red,5,en face,157.13,2,2,0,0.0
2008,4,11,USA,9190,trousers,P171,beige,6,en face,175.98,2,3,0,0.0
2008,7,25,USA,7826,sale,P017,white,3,profile,77.19,1,5,0,0.0
2008,5,4,India,7540,skirts,P248,pink,6,en face,169.27,2,1,0,0.0
2008,4,7,Sweden,7232,sale,P240,gray,4,en face,54.53,1,3,0,0.0
2008,5,6,Australia,765,blouses,P094,white,3,en face,59.08,1,3,0,0.0
2008,4,10,Italy,5020,skirts,P207,violet,2,en face,168.61,2,5,0,0.0
2008,5,18,UK,4904,blouses,P032,black,2,profile,177.65,2,2,0,0.0
2008,7,19,France,8094,sale,P172,blue,6,profile,76.92,1,3,0,0.0
2008,6,14,Italy,6844,sale,P135,burgundy,4,en face,77.15,1,1,0,0.0
2008,6,21,Germany,2166,sale,P222,gray,1,profile,43.64,1,4,0,0.0
2008,5,18,UK,1863,sale,P022,red,1,profile,173.88,2,2,0,0.0
2008,7,15,Italy,7851,skirts,P215,beige,5,en face,191.21,2,3,0,0.0
2008,5,10,France,9124,blouses,P157,black,5,profile,86.68,1,1,0,0.0
2008,6,24,Sweden,2341,sale,P040,olive,6,en face,90.14,1,1,0,0.0
2008,6,24,Australia,5528,sale,P216,red,2,profile,82.12,1,5,0,0.0
2008,7,10,France,6744,trousers,P129,white,2,en face,78.24,1,2,0,0.0
2008,8,27,India,4004,trousers,P187,green,4,profile,198.96,2,4,0,0.0
2008,6,2,Australia,1124,trousers,P122,pink,3,en face,87.73,1,4,0,0.0
2008,5,17,Sweden,8710,trousers,P241,gray,2,profile,193.42,2,3,0,0.0
2008,7,11,Germany,4050,sale,P209,pink,6,en face,92.77,1,5,1,224.1
2008,6,16,UK,7641,skirts,P230,gray,6,profile,189.25,2,2,0,0.0
2008,7,27,Germany,766,sale,P133,olive,3,en face,171.28,2,2,0,0.0
2008,5,12,France,2345,trousers,P116,blue,1,en face,52.69,1,5,0,0.0
2008,8,27,Australia,4072,skirts,P154,brown,3,profile,141.19,2,1,0,0.0
2008,6,19,Italy,7217,trousers,P188,red,2,profile,92.56,1,4,0,0.0
2008,4,14,Sweden,4217,blouses,P011,gray,3,en face,86.76,1,5,0,0.0
2008,4,18,UK,7953,trousers,P046,violet,6,en face,155.75,2,2,1,407.78
2008,4,28,UK,5971,blouses,P222,pink,3,profile,86.47,1,1,0,0.0
2008,6,5,India,3351,blouses,P199,burgundy,3,en face,102.32,1,1,0,0.0
2008,5,14,Australia,4696,sale,P054,brown,4,en face,161.18,2,4,0,0.0
2008,7,16,UK,3400,trousers,P028,black,1,en face,149.83,2,5,0,0.0
2008,8,27,USA,4082,trousers,P154,white,2,profile,144.83,2,2,0,0.0
2008,4,5,UK,9150,sale,P145,blue,6,profile,77.52,1,5,0,0.0
2008,6,14,India,1225,skirts,P260,navy blue,5,en face,111.51,2,1,0,0.0
2008,6,20,Germany,6293,blouses,P016,green,4,profile,191.86,2,3,0,0.0
2008,7,9,Sweden,3123,skirts,P265,gray,1,profile,25.91,1,3,0,0.0
2008,6,19,Australia,511,trousers,P227,blue,3,en face,127.54,2,3,0,0.0
2008,8,21,Australia,5795,blouses,P253,burgundy,1,en face,126.14,2,1,0,0.0
2008,8,6,Australia,8182,blouses,P117,green,3,en face,188.52,2,1,0,0.0
2008,8,26,India,9418,blouses,P265,burgundy,3,en face,18.71,1,4,0,0.0
2008,8,10,Italy,97,trousers,P109,black,2,en face,73.18,1,3,0,0.0
2008,8,19,India,6682,trousers,P099,blue,2,profile,76.5,1,2,1,199.01
2008,5,21,Australia,1513,sale,P168,beige,3,en face,16.44,1,4,0,0.0
2008,4,1,Italy,8792,sale,P267,blue,2,en face,97.47,1,2,0,0.0
2008,5,14,France,120,sale,P012,burgundy,2,en face,78.04,1,2,0,0.0
2008,8,27,Italy,7792,skirts,P033,beige,4,profile,58.04,1,5,0,0.0
2008,4,13,Germany,6518,blouses,P121,olive,6,profile,104.63,1,3,0,0.0
2008,4,27,Germany,34,blouses,P274,violet,6,en face,122.37,2,2,1,173.86
2008,4,15,India,7888,trousers,P065,black,6,profile,124.13,2,2,0,0.0
2008,4,6,France,6831,skirts,P087,white,6,en face,14.56,1,5,0,0.0
2008,5,13,India,5422,skirts,P211,red,3,en face,176.16,2,5,0,0.0
2008,4,3,India,1069,blouses,P072,white,5,profile,133.5,2,4,0,0.0
2008,8,7,Australia,1348,skirts,P094,beige,1,en face,160.93,2,5,0,0.0
2008,8,27,USA,4748,skirts,P079,white,2,en face,161.55,2,5,0,0.0
2008,8,26,Italy,6006,skirts,P250,black,1,profile,76.04,1,5,1,178.5
2008,8,23,Italy,6040,skirts,P076,blue,1,en face,119.67,2,5,0,0.0
2008,7,9,Sweden,3818,sale,P088,black,3,profile,55.68,1,5,0,0.0
2008,7,21,Italy,8447,skirts,P226,olive,5,profile,38.41,1,5,0,0.0
2008,6,2,India,5270,blouses,P219,green,5,en face,37.24,1,5,0,0.0
2008,7,1,USA,6898,trousers,P204,olive,4,profile,128.52,2,1,0,0.0
2008,8,10,USA,5310,skirts,P119,burgundy,2,profile,185.14,2,3,1,431.54
2008,7,5,Australia,32,blouses,P169,brown,4,en face,180.18,2,1,1,302.82
2008,5,9,Sweden,5675,blouses,P054,navy blue,3,en face,188.73,2,5,0,0.0
2008,4,27,Germany,4387,blouses,P129,burgundy,4,profile,129.11,2,2,1,319.89
2008,7,15,UK,30,blouses,P051,gray,4,profile,77.54,1,5,1,97.58
2008,7,2,Italy,4203,sale,P001,red,1,en face,138.26,2,5,0,0.0
2008,8,17,Germany,7508,blouses,P007,white,4,en face,109.98,2,2,0,0.0
2008,5,19,USA,736,skirts,P111,navy blue,3,en face,39.44,1,5,1,101.45
2008,7,12,Australia,2068,trousers,P004,beige,5,en face,35.62,1,5,0,0.0
2008,6,5,Australia,107,blouses,P027,beige,5,profile,44.94,1,2,0,0.0
2008,8,3,Germany,9645,trousers,P191,white,6,en face,26.14,1,4,0,0.0
2008,8,17,USA,8895,sale,P085,blue,6,en face,155.76,2,1,0,0.0
2008,6,13,Sweden,8021,skirts,P293,violet,5,en face,79.81,1,4,0,0.0
2008,8,22,Germany,2233,trousers,P004,olive,5,profile,10.02,1,2,0,0.0
2008,5,12,Sweden,994,trousers,P263,navy blue,4,profile,99.34,1,2,0,0.0
2008,8,8,USA,9413,blouses,P192,gray,5,en face,104.87,1,5,0,0.0
2008,8,27,France,7059,sale,P119,navy blue,6,en face,163.28,2,2,0,0.0
2008,5,13,France,6790,skirts,P037,olive,4,en face,187.9,2,5,0,0.0
2008,7,28,India,361,trousers,P194,violet,1,profile,156.89,2,5,1,460.97
2008,6,10,Italy,305,blouses,P239,white,6,profile,144.79,2,2,0,0.0
2008,6,17,USA,2628,sale,P219,brown,1,profile,65.55,1,2,0,0.0
2008,6,3,France,8966,skirts,P170,blue,4,profile,177.53,2,3,0,0.0
2008,6,9,UK,4514,sale,P089,black,6,profile,185.15,2,1,0,0.0
2008,8,8,India,5911,blouses,P183,green,1,en face,135.01,2,5,0,0.0
2008,5,27,India,8314,blouses,P116,black,3,profile,112.52,2,3,0,0.0
2008,6,26,Germany,3101,blouses,P027,navy blue,3,profile,47.1,1,3,0,0.0
2008,8,11,Italy,5704,trousers,P014,red,3,en face,29.68,1,5,0,0.0
2008,7,19,Italy,3899,skirts,P211,black,6,profile,196.44,2,4,0,0.0
2008,6,5,Australia,5441,blouses,P172,pink,5,profile,196.17,2,5,0,0.0
2008,8,2,Australia,7931,trousers,P257,gray,6,profile,41.14,1,4,0,0.0
2008,5,21,Sweden,622,blouses,P234,olive,5,profile,156.2,2,1,0,0.0
2008,4,24,India,7236,trousers,P166,gray,3,profile,155.29,2,4,0,0.0
2008,6,5,Sweden,2499,blouses,P214,red,6,en face,35.7,1,3,0,0.0
2008,6,18,USA,714,sale,P145,white,5,en face,72.82,1,4,0,0.0
2008,5,8,UK,8404,sale,P066,brown,1,en face,43.5,1,3,0,0.0
2008,6,17,USA,2856,blouses,P012,gray,6,profile,82.63,1,4,0,0.0
2008,4,16,USA,4270,blouses,P031,black,4,profile,145.35,2,4,0,0.0
2008,4,13,France,2909,blouses,P083,black,2,en face,109.8,2,4,0,0.0
2008,5,17,USA,8081,blouses,P257,red,4,profile,76.48,1,3,0,0.0
2008,6,28,Italy,4517,skirts,P298,brown,1,profile,108.59,2,3,0,0.0
2008,4,5,Sweden,1262,blouses,P003,navy blue,2,profile,116.8,2,3,0,0.0
2008,4,23,Germany,3161,skirts,P207,brown,3,en face,15.08,1,5,0,0.0
2008,7,27,France,971,blouses,P164,pink,6,profile,141.89,2,2,0,0.0
2008,8,10,USA,3913,skirts,P087,green,6,profile,68.33,1,2,0,0.0
2008,6,4,Sweden,5199,trousers,P090,burgundy,5,profile,170.68,2,4,1,475.01
2008,4,3,Germany,8847,trousers,P167,black,6,profile,92.73,1,4,0,0.0
2008,5,14,India,260,sale,P091,violet,5,en face,89.79,1,4,0,0.0
2008,4,27,UK,3791,sale,P247,violet,6,en face,46.45,1,5,0,0.0
2008,8,6,France,9203,skirts,P188,blue,2,profile,26.95,1,4,0,0.0
2008,6,28,Germany,488,trousers,P125,navy blue,4,en face,13.7,1,3,0,0.0
2008,4,12,France,7908,trousers,P187,green,2,en face,105.26,1,3,0,0.0
2008,8,7,Germany,519,sale,P239,gray,6,en face,75.59,1,3,1,162.21
2008,7,3,USA,8343,trousers,P184,navy blue,4,profile,163.49,2,3,0,0.0
2008,6,26,Germany,312,trousers,P105,black,5,profile,54.15,1,3,0,0.0
2008,8,14,UK,3232,trousers,P078,brown,2,en face,15.52,1,5,0,0.0
2008,8,20,UK,7933,trousers,P235,navy blue,1,en face,188.45,2,3,0,0.0
2008,8,9,Germany,7458,trousers,P195,violet,3,en face,93.59,1,2,1,270.02
2008,5,18,Australia,9784,trousers,P203,burgundy,5,profile,10.93,1,4,0,0.0
2008,8,9,USA,5184,trousers,P230,black,3,profile,182.07,2,4,0,0.0
2008,7,14,UK,8077,sale,P183,burgundy,4,en face,89.18,1,2,0,0.0
2008,4,27,Italy,6502,blouses,P084,white,5,en face,173.99,2,5,0,0.0
2008,8,5,India,6791,sale,P051,gray,6,profile,93.19,1,4,0,0.0
2008,8,11,India,7773,blouses,P136,black,3,profile,131.97,2,1,1,156.57
2008,6,13,France,2738,skirts,P214,green,4,profile,92.85,1,5,0,0.0
2008,6,21,Italy,7842,sale,P037,brown,1,profile,53.98,1,1,0,0.0
2008,6,23,Italy,6262,skirts,P088,gray,2,profile,84.65,1,1,0,0.0
2008,4,17,Italy,8206,trousers,P266,burgundy,4,profile,28.92,1,4,0,0.0
2008,5,13,Germany,1248,blouses,P218,violet,6,en face,192.54,2,3,0,0.0
2008,5,1,India,9336,trousers,P192,burgundy,4,profile,151.39,2,1,0,0.0
2008,5,23,Italy,4195,trousers,P094,pink,4,profile,168.69,2,4,0,0.0
2008,4,5,Sweden,8001,sale,P071,black,3,profile,21.7,1,2,0,0.0
2008,7,18,Sweden,7378,trousers,P006,brown,3,en face,80.82,1,1,0,0.0
2008,7,26,UK,3435,blouses,P038,brown,2,en face,104.24,1,5,0,0.0
2008,7,22,Germany,5382,trousers,P014,black,1,profile,109.61,2,5,0,0.0
2008,6,19,USA,959,sale,P216,navy blue,2,en face,66.47,1,1,0,0.0
2008,5,25,Australia,417,skirts,P036,navy blue,6,profile,44.46,1,2,0,0.0
2008,5,3,Germany,5742,trousers,P017,gray,2,profile,50.47,1,3,0,0.0
2008,5,16,USA,6728,skirts,P154,pink,2,profile,154.41,2,5,0,0.0
