SESSION_ID,session_length,unique_categories,avg_price,total_price,high_price_ratio,first_category,last_category,num_colours,num_models,conversion,revenue,conversion_sale_rule,cluster,is_weekend,session_value_per_click,category_diversity,colour_diversity,model_diversity,cluster_new
1,8,4,43.875,351,0.625,Skirts,Blouses,6,8,1,351,1,1,False,43.875,0.5,0.75,1.0,0
2,9,3,49.22222222222222,443,0.7777777777777778,Trousers,Skirts,5,8,1,443,1,1,False,49.22222222222222,0.3333333333333333,0.5555555555555556,0.8888888888888888,0
3,3,2,44.666666666666664,134,0.6666666666666666,Blouses,Skirts,3,3,0,134,0,0,False,44.666666666666664,0.6666666666666666,1.0,1.0,1
4,4,2,45.25,181,0.5,Trousers,Blouses,2,4,0,181,0,0,False,45.25,0.5,0.5,1.0,1
5,1,1,57.0,57,1.0,Blouses,Blouses,1,1,0,57,0,0,False,57.0,1.0,1.0,1.0,1
6,3,1,39.666666666666664,119,0.3333333333333333,Blouses,Blouses,3,3,0,119,0,0,False,39.666666666666664,0.3333333333333333,1.0,1.0,1
7,8,3,36.0,288,0.25,Sale,Sale,6,8,1,288,1,1,False,36.0,0.375,0.75,1.0,0
8,8,2,36.625,293,0.375,Blouses,Blouses,5,8,0,293,0,1,False,36.625,0.25,0.625,1.0,0
9,3,2,41.0,123,0.3333333333333333,Skirts,Trousers,3,3,0,123,0,0,False,41.0,0.6666666666666666,1.0,1.0,1
10,5,2,45.4,227,0.6,Skirts,Skirts,5,5,0,227,0,0,False,45.4,0.4,1.0,1.0,1
11,1,1,72.0,72,1.0,Trousers,Trousers,1,1,0,72,0,0,False,72.0,1.0,1.0,1.0,1
12,7,3,50.142857142857146,351,0.8571428571428571,Sale,Skirts,6,6,1,351,1,1,False,50.142857142857146,0.42857142857142855,0.8571428571428571,0.8571428571428571,0
13,3,1,38.0,114,0.0,Trousers,Trousers,2,3,0,114,0,0,False,38.0,0.3333333333333333,0.6666666666666666,1.0,1
14,1,1,43.0,43,0.0,Trousers,Trousers,1,1,0,43,0,0,False,43.0,1.0,1.0,1.0,1
15,20,3,48.55,971,0.6,Skirts,Blouses,13,20,0,971,0,1,False,48.55,0.15,0.65,1.0,0
16,1,1,28.0,28,0.0,Sale,Sale,1,1,1,28,1,0,False,28.0,1.0,1.0,1.0,1
17,4,3,45.25,181,0.5,Trousers,Skirts,3,4,0,181,0,0,False,45.25,0.75,0.75,1.0,1
18,5,1,52.6,263,0.4,Trousers,Trousers,2,5,0,263,0,0,False,52.6,0.2,0.4,1.0,1
19,3,2,43.0,129,0.6666666666666666,Blouses,Blouses,2,3,0,129,0,0,False,43.0,0.6666666666666666,0.6666666666666666,1.0,1
20,2,1,35.5,71,0.0,Trousers,Trousers,2,2,0,71,0,0,False,35.5,0.5,1.0,1.0,1
21,5,2,42.8,214,0.4,Skirts,Blouses,3,5,0,214,0,0,False,42.8,0.4,0.6,1.0,1
22,3,1,46.0,138,0.3333333333333333,Trousers,Trousers,3,3,0,138,0,0,False,46.0,0.3333333333333333,1.0,1.0,1
23,1,1,33.0,33,0.0,Sale,Sale,1,1,1,33,1,0,False,33.0,1.0,1.0,1.0,1
24,5,3,39.8,199,0.4,Skirts,Blouses,3,5,1,199,1,0,False,39.8,0.6,0.6,1.0,1
25,1,1,38.0,38,0.0,Skirts,Skirts,1,1,0,38,0,0,False,38.0,1.0,1.0,1.0,1
26,2,1,50.0,100,0.5,Trousers,Trousers,1,2,0,100,0,0,False,50.0,0.5,0.5,1.0,1
27,5,3,46.8,234,0.8,Blouses,Blouses,4,5,0,234,0,0,False,46.8,0.6,0.8,1.0,1
28,4,3,48.5,194,0.5,Sale,Trousers,3,4,1,194,1,0,False,48.5,0.75,0.75,1.0,1
29,3,1,44.333333333333336,133,0.3333333333333333,Trousers,Trousers,2,3,0,133,0,0,False,44.333333333333336,0.3333333333333333,0.6666666666666666,1.0,1
30,10,3,40.4,404,0.2,Trousers,Trousers,6,10,0,404,0,1,False,40.4,0.3,0.6,1.0,0
31,9,3,43.666666666666664,393,0.5555555555555556,Blouses,Skirts,6,7,0,393,0,1,False,43.666666666666664,0.3333333333333333,0.6666666666666666,0.7777777777777778,0
32,3,2,38.0,114,0.0,Trousers,Trousers,3,3,1,114,1,0,False,38.0,0.6666666666666666,1.0,1.0,1
33,16,3,42.5,680,0.5,Sale,Sale,7,15,1,680,1,1,False,42.5,0.1875,0.4375,0.9375,0
34,1,1,57.0,57,1.0,Skirts,Skirts,1,1,0,57,0,0,False,57.0,1.0,1.0,1.0,1
35,5,2,50.4,252,0.6,Trousers,Skirts,3,5,0,252,0,0,False,50.4,0.4,0.6,1.0,1
36,2,1,33.0,66,0.0,Sale,Sale,1,1,1,66,1,0,False,33.0,0.5,0.5,0.5,1
37,5,3,50.4,252,0.8,Skirts,Sale,3,5,1,252,1,0,False,50.4,0.6,0.6,1.0,1
38,4,2,45.25,181,0.5,Trousers,Sale,3,4,1,181,1,0,False,45.25,0.5,0.75,1.0,1
39,2,2,38.0,76,0.5,Trousers,Blouses,2,2,0,76,0,0,False,38.0,1.0,1.0,1.0,1
40,6,2,42.833333333333336,257,0.16666666666666666,Trousers,Trousers,4,6,0,257,0,0,False,42.833333333333336,0.3333333333333333,0.6666666666666666,1.0,0
41,2,1,30.5,61,0.0,Trousers,Trousers,2,2,0,61,0,0,False,30.5,0.5,1.0,1.0,1
42,1,1,43.0,43,0.0,Trousers,Trousers,1,1,0,43,0,0,False,43.0,1.0,1.0,1.0,1
43,20,1,52.25,1045,0.75,Skirts,Skirts,6,11,0,1045,0,1,False,52.25,0.05,0.3,0.55,0
44,9,3,49.22222222222222,443,0.6666666666666666,Skirts,Blouses,5,9,0,443,0,1,False,49.22222222222222,0.3333333333333333,0.5555555555555556,1.0,0
45,3,1,43.666666666666664,131,0.3333333333333333,Trousers,Trousers,3,3,0,131,0,0,False,43.666666666666664,0.3333333333333333,1.0,1.0,1
46,1,1,62.0,62,1.0,Trousers,Trousers,1,1,0,62,0,0,False,62.0,1.0,1.0,1.0,1
47,4,2,48.75,195,0.75,Skirts,Sale,4,4,1,195,1,0,False,48.75,0.5,1.0,1.0,1
48,3,2,38.0,114,0.6666666666666666,Trousers,Sale,2,3,1,114,1,0,False,38.0,0.6666666666666666,0.6666666666666666,1.0,1
49,27,3,45.111111111111114,1218,0.5185185185185185,Trousers,Trousers,12,27,0,1218,0,1,False,45.111111111111114,0.1111111111111111,0.4444444444444444,1.0,0
50,4,1,48.75,195,0.5,Skirts,Skirts,4,4,0,195,0,0,False,48.75,0.25,1.0,1.0,1
51,4,1,58.5,234,0.75,Trousers,Trousers,2,3,0,234,0,0,False,58.5,0.25,0.5,0.75,1
52,9,3,42.77777777777778,385,0.3333333333333333,Skirts,Trousers,5,8,1,385,1,1,False,42.77777777777778,0.3333333333333333,0.5555555555555556,0.8888888888888888,0
53,2,1,35.5,71,0.0,Trousers,Trousers,2,2,0,71,0,0,False,35.5,0.5,1.0,1.0,1
54,3,1,39.666666666666664,119,1.0,Sale,Sale,2,3,1,119,1,0,False,39.666666666666664,0.3333333333333333,0.6666666666666666,1.0,1
55,7,2,40.142857142857146,281,0.7142857142857143,Sale,Blouses,4,6,1,281,1,0,False,40.142857142857146,0.2857142857142857,0.5714285714285714,0.8571428571428571,0
56,7,4,39.57142857142857,277,0.42857142857142855,Trousers,Skirts,7,7,1,277,1,1,False,39.57142857142857,0.5714285714285714,1.0,1.0,0
57,3,1,33.0,99,0.3333333333333333,Sale,Sale,3,3,1,99,1,0,False,33.0,0.3333333333333333,1.0,1.0,1
58,4,2,44.0,176,0.75,Trousers,Sale,4,4,1,176,1,0,False,44.0,0.5,1.0,1.0,1
59,1,1,55.0,55,1.0,Blouses,Blouses,1,1,0,55,0,0,False,55.0,1.0,1.0,1.0,1
60,6,3,47.5,285,0.6666666666666666,Trousers,Trousers,4,5,0,285,0,0,False,47.5,0.5,0.6666666666666666,0.8333333333333334,0
61,4,2,48.75,195,0.5,Skirts,Trousers,3,4,0,195,0,0,False,48.75,0.5,0.75,1.0,1
63,4,1,36.75,147,0.5,Blouses,Blouses,3,4,0,147,0,0,False,36.75,0.25,0.75,1.0,1
64,13,1,56.53846153846154,735,0.6923076923076923,Skirts,Skirts,4,10,0,735,0,0,False,56.53846153846154,0.07692307692307693,0.3076923076923077,0.7692307692307693,0
65,3,1,50.0,150,0.6666666666666666,Trousers,Trousers,2,3,0,150,0,0,False,50.0,0.3333333333333333,0.6666666666666666,1.0,1
66,2,2,38.0,76,0.0,Trousers,Skirts,2,2,0,76,0,0,False,38.0,1.0,1.0,1.0,1
67,17,3,46.94117647058823,798,0.47058823529411764,Trousers,Trousers,10,17,0,798,0,1,False,46.94117647058823,0.17647058823529413,0.5882352941176471,1.0,0
68,1,1,43.0,43,0.0,Trousers,Trousers,1,1,0,43,0,0,False,43.0,1.0,1.0,1.0,1
69,11,3,48.18181818181818,530,0.7272727272727273,Skirts,Blouses,7,11,0,530,0,1,False,48.18181818181818,0.2727272727272727,0.6363636363636364,1.0,0
70,3,1,50.666666666666664,152,0.6666666666666666,Skirts,Skirts,3,3,0,152,0,0,False,50.666666666666664,0.3333333333333333,1.0,1.0,1
71,1,1,33.0,33,0.0,Trousers,Trousers,1,1,0,33,0,0,False,33.0,1.0,1.0,1.0,1
72,1,1,48.0,48,1.0,Blouses,Blouses,1,1,0,48,0,0,False,48.0,1.0,1.0,1.0,1
73,1,1,38.0,38,0.0,Trousers,Trousers,1,1,0,38,0,0,False,38.0,1.0,1.0,1.0,1
74,6,2,38.0,228,0.3333333333333333,Trousers,Trousers,4,6,1,228,1,0,False,38.0,0.3333333333333333,0.6666666666666666,1.0,0
75,1,1,52.0,52,1.0,Skirts,Skirts,1,1,0,52,0,0,False,52.0,1.0,1.0,1.0,1
76,10,3,40.5,405,0.6,Sale,Sale,6,9,1,405,1,1,False,40.5,0.3,0.6,0.9,0
77,4,1,46.25,185,0.5,Skirts,Skirts,4,4,0,185,0,0,False,46.25,0.25,1.0,1.0,1
78,1,1,33.0,33,0.0,Blouses,Blouses,1,1,0,33,0,0,False,33.0,1.0,1.0,1.0,1
79,10,2,37.4,374,0.3,Sale,Trousers,4,10,1,374,1,1,False,37.4,0.2,0.4,1.0,0
80,2,2,38.0,76,0.5,Sale,Blouses,2,2,1,76,1,0,False,38.0,1.0,1.0,1.0,1
81,5,1,46.6,233,0.4,Skirts,Skirts,4,4,0,233,0,0,False,46.6,0.2,0.8,0.8,1
82,7,4,45.57142857142857,319,0.7142857142857143,Trousers,Sale,6,7,1,319,1,1,False,45.57142857142857,0.5714285714285714,0.8571428571428571,1.0,0
83,8,2,42.375,339,0.875,Sale,Blouses,6,7,1,339,1,1,False,42.375,0.25,0.75,0.875,0
84,4,2,52.5,210,0.75,Skirts,Skirts,4,4,0,210,0,0,False,52.5,0.5,1.0,1.0,1
85,1,1,28.0,28,0.0,Blouses,Blouses,1,1,0,28,0,0,False,28.0,1.0,1.0,1.0,1
86,10,3,37.0,370,0.2,Blouses,Skirts,5,10,0,370,0,1,False,37.0,0.3,0.5,1.0,0
87,4,2,44.0,176,0.5,Trousers,Trousers,2,4,1,176,1,0,False,44.0,0.5,0.5,1.0,1
88,4,2,41.75,167,0.75,Blouses,Sale,3,4,1,167,1,0,False,41.75,0.5,0.75,1.0,1
89,1,1,50.0,50,1.0,Blouses,Blouses,1,1,0,50,0,0,False,50.0,1.0,1.0,1.0,1
90,1,1,38.0,38,1.0,Sale,Sale,1,1,1,38,1,0,False,38.0,1.0,1.0,1.0,1
91,4,3,47.75,191,0.75,Blouses,Blouses,2,4,1,191,1,0,False,47.75,0.75,0.5,1.0,1
92,1,1,38.0,38,0.0,Trousers,Trousers,1,1,0,38,0,0,False,38.0,1.0,1.0,1.0,1
94,9,3,44.44444444444444,400,0.6666666666666666,Sale,Trousers,4,9,1,400,1,1,False,44.44444444444444,0.3333333333333333,0.4444444444444444,1.0,0
95,2,1,48.0,96,1.0,Blouses,Blouses,2,2,0,96,0,0,False,48.0,0.5,1.0,1.0,1
96,5,3,48.4,242,0.6,Skirts,Skirts,4,5,0,242,0,0,False,48.4,0.6,0.8,1.0,1
97,1,1,43.0,43,1.0,Sale,Sale,1,1,1,43,1,0,False,43.0,1.0,1.0,1.0,1
98,1,1,28.0,28,0.0,Blouses,Blouses,1,1,0,28,0,0,False,28.0,1.0,1.0,1.0,1
99,9,2,46.55555555555556,419,0.6666666666666666,Skirts,Skirts,4,8,1,419,1,0,False,46.55555555555556,0.2222222222222222,0.4444444444444444,0.8888888888888888,0
100,10,3,37.5,375,0.3,Trousers,Blouses,7,10,1,375,1,1,False,37.5,0.3,0.7,1.0,0
101,1,1,57.0,57,1.0,Skirts,Skirts,1,1,0,57,0,0,False,57.0,1.0,1.0,1.0,1
102,4,3,41.75,167,0.5,Blouses,Sale,3,3,1,167,1,0,False,41.75,0.75,0.75,0.75,1
103,3,1,38.0,114,0.0,Trousers,Trousers,2,2,0,114,0,0,False,38.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1
104,3,1,60.333333333333336,181,1.0,Skirts,Skirts,2,3,0,181,0,0,False,60.333333333333336,0.3333333333333333,0.6666666666666666,1.0,1
105,1,1,67.0,67,1.0,Skirts,Skirts,1,1,0,67,0,0,False,67.0,1.0,1.0,1.0,1
106,2,1,51.5,103,1.0,Sale,Sale,2,2,1,103,1,0,False,51.5,0.5,1.0,1.0,1
107,20,4,37.15,743,0.4,Sale,Sale,9,18,1,743,1,1,False,37.15,0.2,0.45,0.9,0
108,2,1,38.0,76,1.0,Sale,Sale,2,2,1,76,1,0,False,38.0,0.5,1.0,1.0,1
109,3,2,47.666666666666664,143,0.3333333333333333,Trousers,Trousers,2,3,0,143,0,0,False,47.666666666666664,0.6666666666666666,0.6666666666666666,1.0,1
110,4,1,40.5,162,0.75,Sale,Sale,3,4,1,162,1,0,False,40.5,0.25,0.75,1.0,1
111,1,1,62.0,62,1.0,Skirts,Skirts,1,1,0,62,0,0,False,62.0,1.0,1.0,1.0,1
112,6,3,44.333333333333336,266,0.3333333333333333,Skirts,Skirts,5,6,1,266,1,1,False,44.333333333333336,0.5,0.8333333333333334,1.0,0
113,7,3,49.0,343,0.7142857142857143,Blouses,Skirts,5,6,0,343,0,1,False,49.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,0
114,2,1,38.0,76,0.5,Trousers,Trousers,2,2,0,76,0,0,False,38.0,0.5,1.0,1.0,1
115,2,2,35.5,71,0.0,Blouses,Trousers,2,2,0,71,0,0,False,35.5,1.0,1.0,1.0,1
116,2,1,50.0,100,0.5,Trousers,Trousers,2,2,0,100,0,0,False,50.0,0.5,1.0,1.0,1
118,1,1,38.0,38,0.0,Trousers,Trousers,1,1,0,38,0,0,False,38.0,1.0,1.0,1.0,1
119,8,3,47.0,376,0.5,Trousers,Trousers,3,8,0,376,0,1,False,47.0,0.375,0.375,1.0,0
